,open,high,low,close,adjusted_close,volume,dividend_amount
2012-12-31,1.9570,2.3520,1.9420,2.2900,1.1814,108692509,0.0000
2013-01-31,2.3000,2.4460,2.2880,2.3750,1.2253,112208234,0.0000
2013-02-28,2.3850,2.4300,2.2150,2.2980,1.1856,136529921,0.0000
2013-03-28,2.3070,2.5000,2.2580,2.4020,1.2392,189156892,0.0000
2013-04-30,2.4020,2.6300,2.2840,2.6100,1.3465,148656386,0.0000
2013-05-31,2.6100,2.6700,2.4240,2.4790,1.3754,124460295,0.1808
2013-06-28,2.4700,2.5970,2.3700,2.4750,1.3732,105102924,0.0000
2013-07-31,2.4680,2.6700,2.2450,2.6700,1.4814,131715673,0.0000
2013-08-30,2.6700,2.7350,2.6140,2.6740,1.4836,92260207,0.0000
2013-09-30,2.6840,2.7350,2.6680,2.7000,1.4980,110734529,0.0000
2013-10-31,2.6860,2.7190,2.4200,2.7120,1.5047,182694267,0.0000
2013-11-29,2.7200,2.8180,2.6890,2.7850,1.5452,68611599,0.0000
2013-12-31,2.7760,2.7910,2.6060,2.6700,1.4814,105043161,0.0000
2014-01-31,2.6760,2.8820,2.6340,2.7860,1.5457,147120643,0.0000
2014-02-28,2.7740,3.1400,2.7450,3.1400,1.7421,129203449,0.0000
2014-03-31,3.1390,3.3730,3.0850,3.3710,1.8703,134109244,0.0000
2014-04-30,3.3610,3.5170,3.1720,3.5000,1.9419,154380272,0.0000
2014-05-30,3.5000,3.5920,3.3220,3.4700,2.0312,150862917,0.1808
2014-06-30,3.4800,3.7490,3.4570,3.6640,2.1448,106895962,0.0000
2014-07-31,3.6600,3.6600,3.1840,3.5030,2.0506,128609762,0.0000
2014-08-29,3.5160,3.7050,3.0510,3.6840,2.1565,101609693,0.0000
2014-09-30,3.6600,3.7200,3.3060,3.4550,2.0225,104552489,0.0000
2014-10-31,3.4520,3.4900,3.0960,3.4310,2.0084,127817413,0.0000
2014-11-28,3.4090,3.4360,3.1600,3.2990,1.9311,98352673,0.0000
2014-12-31,3.2560,3.5200,3.0360,3.2180,1.8837,121162086,0.0000
2015-01-30,3.2470,3.5840,3.0730,3.3770,1.9768,148335237,0.0000
2015-02-27,3.4120,3.5290,3.1710,3.5260,2.0640,155971507,0.0000
2015-03-31,3.5400,3.6380,3.2830,3.4850,2.0400,224536989,0.0000
2015-04-30,3.4710,3.7490,3.4630,3.5720,2.0910,126151824,0.0000
2015-05-29,3.6000,3.6750,3.4170,3.5550,2.1920,138968480,0.1808
2015-06-30,3.5690,3.5870,3.2770,3.4050,2.0995,144752917,0.0000
2015-07-31,3.4140,3.6740,3.2990,3.3680,2.0767,123898782,0.0000
2015-08-31,3.3630,3.4370,2.9510,3.1260,1.9274,113396402,0.0000
2015-09-30,3.0900,3.2730,2.9630,3.2710,2.0168,138337653,0.0000
2015-10-30,3.3000,3.5440,3.2500,3.3680,2.0767,171594026,0.0000
2015-11-30,3.3590,3.4890,3.0980,3.1550,1.9453,166146730,0.0000
2015-12-31,3.1520,3.3320,3.0280,3.3210,2.0477,146739390,0.0000
2016-01-29,3.2910,3.2960,2.9000,3.2170,1.9835,166725128,0.0000
2016-02-29,3.2300,3.2990,2.7020,2.8570,1.7616,187952305,0.0000
2016-03-31,2.8570,3.1760,2.7370,3.1260,1.9274,196658933,0.0000
2016-04-29,3.0920,3.1420,2.9010,3.1040,1.9139,131184728,0.0000
2016-05-31,3.1130,3.3500,2.8220,2.9950,1.9612,139742576,0.1808
2016-06-30,2.9960,3.0160,2.4860,2.7540,1.8034,167987496,0.0000
2016-07-29,2.7760,3.0750,2.6390,3.0680,2.0090,136342577,0.0000
2016-08-31,3.0900,3.1400,2.9820,3.0050,1.9678,103166644,0.0000
2016-09-30,3.0050,3.0880,2.8770,2.9890,1.9573,105212836,0.0000
2016-10-31,2.9800,3.0630,2.7170,3.0110,1.9717,122981613,0.0000
2016-11-30,3.0370,3.0370,2.6260,2.7270,1.7857,128734376,0.0000
2016-12-30,2.7140,2.9490,2.6680,2.8940,1.8951,106609262,0.0000
2017-01-31,2.8900,2.9370,2.6650,2.6880,1.7602,145902789,0.0000
2017-02-28,2.7050,2.9230,2.6410,2.9190,1.9115,113441955,0.0000
2017-03-31,2.9200,3.1830,2.7550,3.1750,2.0791,189397608,0.0000
2017-04-28,3.1900,3.2130,3.0190,3.0300,1.9842,107126794,0.0000
2017-05-31,3.0440,3.3060,2.9820,3.2740,2.2749,160443123,0.1857
2017-06-30,3.2790,3.2980,2.8550,2.8630,1.9893,176307643,0.0000
2017-07-31,2.8760,3.0190,2.8060,3.0000,2.0845,158193369,0.0000
2017-08-31,3.0000,3.2500,2.9950,3.2250,2.2409,115848056,0.0000
2017-09-29,3.2350,3.3890,3.1560,3.1850,2.2131,123678133,0.0000
2017-10-31,3.1550,3.1570,2.9450,3.0630,2.1283,148070876,0.0000
2017-11-30,3.0610,3.1270,2.8300,2.9450,2.0463,161051000,0.0000
2017-12-29,2.9450,2.9570,2.8510,2.8850,2.0046,114244812,0.0000
2018-01-31,2.8920,3.0190,2.8250,2.8290,1.9657,127799316,0.0000
2018-02-28,2.8430,2.8520,2.6310,2.7530,1.9129,148946762,0.0000
2018-03-29,2.7610,3.0930,2.7100,3.0880,2.1457,223543972,0.0000
2018-04-30,3.0830,3.3490,3.0150,3.0760,2.2732,145488210,0.1857
2018-05-31,3.0760,3.5330,2.9850,3.3500,2.4757,214879670,0.0000
2018-06-29,3.3640,3.4700,3.3400,3.4000,2.5127,120570135,0.0000
2018-07-31,3.3800,3.5380,3.3760,3.4890,2.5785,86701239,0.0000
2018-08-31,3.4870,3.5490,3.3570,3.3650,2.4868,71282280,0.0000
2018-09-28,3.3640,3.3680,3.1780,3.1780,2.3486,97201143,0.0000
2018-10-31,3.1700,3.2910,3.0430,3.1040,2.2939,107163720,0.0000
2018-11-30,3.0940,3.1780,3.0380,3.0870,2.2814,97082029,0.0000
